old_url,new_target,http_status,disposition,confidence,type,rationale,DECISION (Jake)
/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/careers/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/case-studies/,KEEP (same URL),200,keep,high,Case study,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/case-studies/bookseats/,KEEP (same URL),200,keep,high,Case study,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/case-studies/bow-city-storage/,KEEP (same URL),200,keep,high,Case study,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/case-studies/harmony-resorts/,KEEP (same URL),200,keep,high,Case study,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/case-studies/ontario-business-central/,KEEP (same URL),200,keep,high,Case study,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/case-studies/spieth-america/,KEEP (same URL),200,keep,high,Case study,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/case-studies/western-asphalt/,KEEP (same URL),200,keep,high,Case study,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/case-studies/zayouna-law-firm/,KEEP (same URL),200,keep,high,Case study,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/content-marketing-for-ecommerce-businesses-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/conversion-rate-optimization-for-ecommerce-businesses-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/conversion-rate-optimization-for-insurance-brokers-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/conversion-rate-optimization-for-law-firms-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/conversion-rate-optimization-for-self-storage-companies-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/cro-agency-in-calgary/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/cro-agency-in-chicago/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/cro-agency-in-houston/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/cro-agency-in-london/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/cro-agency-in-los-angeles/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/cro-agency-in-montreal/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/cro-agency-in-new-york/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/cro-agency-in-san-antonio/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/cro-agency-in-vancouver/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/ecommerce-businesses-website-development-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/facebook-advertising-agency-in-calgary/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/facebook-advertising-agency-in-chicago/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/facebook-advertising-agency-in-houston/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/facebook-advertising-agency-in-london/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/facebook-advertising-agency-in-los-angeles/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/facebook-advertising-agency-in-montreal/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/facebook-advertising-agency-in-new-york/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/facebook-advertising-agency-in-toronto/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/facebook-advertising-agency-in-vancouver/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/insurance-brokerages-success-with-content-marketing-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/law-firm-marketing-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/legal-practice-search-engine-optimization-for-law-firms-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/calgary/google-ads-agency-in-calgary/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/calgary/seo-agency-in-calgary/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/chicago/google-ads-agency-in-chicago/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/chicago/seo-agency-in-chicago/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/houston/google-ads-agency-in-houston/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/houston/seo-agency-in-houston/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/instagram-advertising-agency-in-calgary/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/instagram-advertising-agency-in-chicago/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/instagram-advertising-agency-in-houston/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/instagram-advertising-agency-in-london/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/instagram-advertising-agency-in-los-angeles/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/instagram-advertising-agency-in-montreal/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/instagram-advertising-agency-in-new-york/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/instagram-advertising-agency-in-san-antonio/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/instagram-advertising-agency-in-toronto/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/instagram-advertising-agency-in-vancouver/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/la/google-ads-agency-in-los-angeles/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/london/google-ads-agency-in-london/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/london/seo-agency-in-london/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/montreal/google-ads-agency-in-montreal/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/montreal/seo-agency-in-montreal/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/nyc/google-ads-agency-in-new-york-city/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/sanantonio/google-ads-agency-in-san-antonio/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/toronto/google-ads-agency-in-toronto/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/toronto/seo-agency-in-toronto/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/vancouver/google-ads-agency-in-vancouver/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/locations/vancouver/seo-agency-in-vancouver/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/maximizing-law-firm-growth-with-paid-media-advertising-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/paid-media-advertising-for-ecommerce-businesses-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/paid-media-advertising-for-insurance-brokers-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/paid-media-advertising-for-self-storage-companies-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/pioneering-content-marketing-for-law-firms-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/search-engine-optimization-for-ecommerce-businesses-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/seo-services-for-self-storage-businesses-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/seo-strategies-for-insurance-brokers-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/seo-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/strategic-content-marketing-for-self-storage-businesses-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/the-best-microsoft-advertising-agency-in-calgary/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/the-best-microsoft-advertising-agency-in-chicago/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/the-best-microsoft-advertising-agency-in-houston/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/the-best-microsoft-advertising-agency-in-london/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/the-best-microsoft-advertising-agency-in-los-angeles/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/the-best-microsoft-advertising-agency-in-montreal/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/the-best-microsoft-advertising-agency-in-new-york/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/the-best-microsoft-advertising-agency-in-san-antonio/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/the-best-microsoft-advertising-agency-in-toronto/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/the-best-microsoft-advertising-agency-in-vancouver/,KEEP (same URL),200,keep,high,Location,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/website-development-for-self-storage-businesses-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/website-development-strategies-for-insurance-brokers-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
/website-development-strategies-for-law-firms-toronto/,KEEP (same URL),200,keep,high,Page,Unchanged URL; no redirect needed.,"Confirmed, keep at same URL"
