url,old_title,new_title,title_changed,old_h1,new_h1,old_desc_len,new_desc_len
/,#1 Performance Marketing Agency In Toronto [2026] | Consultus Digital,Consultus Digital | Marketing Engineered for Scaling Brands,YES,| Your Strategic Growth Partner,"Marketing, engineered for scaling brands.",164,143
/careers/,Careers | Consultus Digital,Careers at Consultus Digital | Join a 5-Star Team,YES,Grow Your Career. Make an Impact. Join a 5-Star Team.,Grow your career . Make an impact. Join a 5-star team.,163,60
/case-studies/,Case Study | Consultus Digital,"Real results, real growth | Consultus Digital",YES,REAL RESULTS. REAL GROWTH,Real results. Real growth.,164,146
/case-studies/bookseats/,BookSeats Success Story | Consultus Digital,BookSeats case study: 1.4x to 8.10x ROAS with UGC | Consultus Digital,YES,How We Achieved 8x ROAS for BookSeats With UGC,From 1.4x to 8.10x ROAS .,158,183
/case-studies/bow-city-storage/,Bow City Storage Success Story | Consultus Digital,"Bow City Storage case study: 2,900% increase in return on ad spend | Consultus Digital",YES,Bow City storage Broke Monthly Sales Records While Boasting An Incredible 2900% ROAS Increase,Bow City Storage went from flat to flying.,163,139
/case-studies/harmony-resorts/,Harmony Resorts Success Story | Consultus Digital,Harmony Resorts case study: 74% greater than industry-average conversion | Consultus Digital,YES,Harmony Resorts Smashed The Industry Conversion Rate Average by 74%,Harmony Resorts converts 74% above industry baseline.,169,143
/case-studies/ontario-business-central/,Ontario Business Central Success Story | Consultus Digital,Ontario Business Central case study: 41% increase in revenue | Consultus Digital,YES,Ontario Business Central Inc. Reporting An Efficient 16% Increase in ROAS,Ontario Business Central lifted revenue 41% .,162,165
/case-studies/spieth-america/,Spieth America Success Story | Consultus Digital,Spieth America case study: 757% lift in return on ad spend | Consultus Digital,YES,From Zero to $420K in Online Sales Within 10 Months for Spieth America,Spieth America ROAS recovered and then some.,167,127
/case-studies/western-asphalt/,Western Asphalt Success Story | Consultus Digital,Western Asphalt case study: 80yr brand revitalized for the digital era | Consultus Digital,YES,Revitalizing an 80-Year-Old Brand – Western Asphalt’s Digital Transformation,Western Asphalt: an 80-year-old brand revitalized .,156,192
/case-studies/zayouna-law-firm/,Zayouna Law Firm Success Story | Consultus Digital,"Zayouna Law case study: signed files, not leads | Consultus Digital",YES,Zayouna Law Firm outperformed its baseline Conversion Rate by 330% Within 3 months,The KPI isn't leads. It's signed files .,165,33
/content-marketing-for-ecommerce-businesses-toronto/,Boost Ecommerce Growth With Content Marketing | Consultus Digital,Content Marketing for Ecommerce Brands | Consultus Digital,YES,| MARKETING / SPECIALTY DIVISION / ECOMMERCE MARKETING / CONTENT MARKETING,Content Marketing for Ecommerce Brands.,166,97
/conversion-rate-optimization-for-ecommerce-businesses-toronto/,Boost E-commerce Sales With CRO Services | Consultus Digital,Boosting Conversions: Conversion Rate Optimization (CRO) for Ecommerce brands | Consultus Digital,YES,| MARKETING / SPECIALTY DIVISION / ECOMMERCE MARKETING / CRO,Conversion Rate Optimization for Ecommerce Storefronts.,161,114
