url,topic,type,dated,disposition,DECISION (Jake)
/blog/crm-for-small-businesses-how-to-implement-and-leverage-crm-for-growth-and-success/,CRM/Automation,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/how-to-choose-the-right-crm-system-for-your-business-tips-and-best-practices/,CRM/Automation,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/the-beginners-guide-to-crm-understanding-the-basics-and-benefits-for-your-business/,CRM/Automation,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/which-crm-system-is-right-for-your-business/,CRM/Automation,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/why-your-business-needs-crm/,CRM/Automation,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/boost-your-conversion-rates-with-these-tips/,CRO,listicle,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/improve-website-conversion-rate/,CRO,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/power-of-social-proof-with-conversion-rate-optimization/,CRO,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/social-proof/,CRO,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/why-every-business-should-be-a-b-testing/,CRO,opinion,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/how-your-business-can-grow-with-influencer-marketing/,Influencer/UGC,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/5-tips-facebook-ads-creation/,Paid Media,listicle,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/6-benefits-google-ads-management-agency/,Paid Media,listicle,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/7-tips-for-creating-effective-facebook-ads-that-convert/,Paid Media,listicle,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/expert-remarketing-strategies/,Paid Media,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/google-ads-paid-search/,Paid Media,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/guide-to-google-ad-campaigns-search-ads/,Paid Media,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/how-to-create-a-facebook-ads-strategy-that-works-for-your-business/,Paid Media,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/remarketing-advertising-for-ecommerce/,Paid Media,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/remarketing-right-business/,Paid Media,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/the-beginners-guide-to-microsoft-advertising-how-to-get-started/,Paid Media,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/the-power-of-bing-ads-why-your-business-should-be-using-microsoft-advertising/,Paid Media,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/tiktok-ads-how-to-win-more-customers/,Paid Media,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/why-google-ads-management-service-agency/,Paid Media,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/work-with-facebook-advertising-agency/,Paid Media,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/ecommerce-seo-how-to-get-started/,SEO,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/ecommerce-seo-tips-to-increase-traffic/,SEO,listicle,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/local-seo-improve-visibility-google/,SEO,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/rank-business-locally-maps/,SEO,guide,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/strategies-to-boost-your-seo/,SEO,listicle,,consolidate,"Confirmed — merge into best version, 301 the rest"
/blog/consultus-digital-announced-as-official-advisor-in-canadas-4-billion-digital-grant/,CDAP/Grants,news,,keep,Confirmed — migrate as-is at same URL
/blog/why-choose-consultus-digital-as-your-cdap-digital-advisor/,CDAP/Grants,guide,,keep,Confirmed — migrate as-is at same URL
/blog/crm-marketing-automation-integration/,CRM/Automation,guide,,keep,Confirmed — migrate as-is at same URL
