url,type,priority,title_verdict,regression_flags,OLD_title,NEW_title,RECOMMENDED_title,OLD_h1,NEW_h1,h1_verdict,RECOMMENDED_h1,RECOMMENDED_meta_description,DECISION (Jake: keep new / use recommended / custom)
/cro-agency-in-calgary/,Location,P1,seo_regression,lost_service_keyword;too_long,The Best CRO Agency Calgary | Consultus Digital,The Best Conversion Rate Optimization Agency in Calgary | Consultus Digital,CRO Agency in Calgary | Consultus Digital,The Best CRO Agency in Calgary,The Best CRO Agency in Calgary .,,The Best CRO Agency in Calgary,"The best CRO agency in Calgary. Conversion rate optimization tied to a real revenue scoreboard, not vanity metrics.",APPLIED — recommended title+meta written to page (Jun 16 2026)
/cro-agency-in-chicago/,Location,P1,seo_regression,lost_service_keyword;too_long,The Best CRO Agency Chicago | Consultus Digital,The Best Conversion Rate Optimization Agency in Chicago | Consultus Digital,CRO Agency in Chicago | Consultus Digital,The Best CRO Agency in Chicago,The Best CRO Agency in Chicago .,,The Best CRO Agency in Chicago,"The best CRO agency in Chicago. Conversion rate optimization tied to a real revenue scoreboard, not vanity metrics.",APPLIED — recommended title+meta written to page (Jun 16 2026)
/cro-agency-in-houston/,Location,P1,seo_regression,lost_service_keyword;too_long,The Best CRO Agency Houston | Consultus Digital,The Best Conversion Rate Optimization Agency in Houston | Consultus Digital,CRO Agency in Houston | Consultus Digital,The Best CRO Agency in Houston,The Best CRO Agency in Houston .,,The Best CRO Agency in Houston,"The best CRO agency in Houston. Conversion rate optimization tied to a real revenue scoreboard, not vanity metrics.",APPLIED — recommended title+meta written to page (Jun 16 2026)
/cro-agency-in-london/,Location,P1,seo_regression,lost_service_keyword;too_long,The Best CRO Agency London | Consultus Digital,The Best Conversion Rate Optimization Agency in London | Consultus Digital,CRO Agency in London | Consultus Digital,The Best CRO Agency in London,The Best CRO Agency in London .,,The Best CRO Agency in London,"The best CRO agency in London. Conversion rate optimization tied to a real revenue scoreboard, not vanity metrics.",APPLIED — recommended title+meta written to page (Jun 16 2026)
/cro-agency-in-los-angeles/,Location,P1,seo_regression,lost_service_keyword;too_long,The Best CRO Agency Los Angeles | Consultus Digital,The Best Conversion Rate Optimization Agency in Los Angeles | Consultus Digital,CRO Agency in Los Angeles | Consultus Digital,The Best CRO Agency in Los Angeles,The Best CRO Agency in Los Angeles .,,The Best CRO Agency in Los Angeles,"The best CRO agency in Los Angeles. Conversion rate optimization tied to a real revenue scoreboard, not vanity metrics.",APPLIED — recommended title+meta written to page (Jun 16 2026)
/cro-agency-in-montreal/,Location,P1,seo_regression,lost_service_keyword;too_long,The Best CRO Agency Montreal | Consultus Digital,The Best Conversion Rate Optimization Agency in Montreal | Consultus Digital,CRO Agency in Montreal | Consultus Digital,The Best CRO Agency in Montreal,The Best CRO Agency in Montreal .,,The Best CRO Agency in Montreal,"The best CRO agency in Montreal. Conversion rate optimization tied to a real revenue scoreboard, not vanity metrics.",APPLIED — recommended title+meta written to page (Jun 16 2026)
/cro-agency-in-new-york/,Location,P1,seo_regression,lost_service_keyword;too_long,The Best CRO Agency New York | Consultus Digital,The Best Conversion Rate Optimization Agency in New York | Consultus Digital,CRO Agency in New York | Consultus Digital,The Best CRO Agency in New York,The Best CRO Agency in New York .,,The Best CRO Agency in New York,"The best CRO agency in New York. Conversion rate optimization tied to a real revenue scoreboard, not vanity metrics.",APPLIED — recommended title+meta written to page (Jun 16 2026)
/cro-agency-in-san-antonio/,Location,P1,seo_regression,lost_service_keyword;too_long,The Best CRO Agency San Antonio | Consultus Digital,The Best Conversion Rate Optimization Agency in San Antonio | Consultus Digital,CRO Agency in San Antonio | Consultus Digital,The Best CRO Agency in San Antonio,The Best CRO Agency in San Antonio .,,The Best CRO Agency in San Antonio,"The best CRO agency in San Antonio. Conversion rate optimization tied to a real revenue scoreboard, not vanity metrics.",APPLIED — recommended title+meta written to page (Jun 16 2026)
/cro-agency-in-vancouver/,Location,P1,seo_regression,lost_service_keyword;too_long,The Best CRO Agency Vancouver | Consultus Digital,The Best Conversion Rate Optimization Agency in Vancouver | Consultus Digital,CRO Agency in Vancouver | Consultus Digital,The Best CRO Agency in Vancouver,The Best CRO Agency in Vancouver .,,The Best CRO Agency in Vancouver,"The best CRO agency in Vancouver. Conversion rate optimization tied to a real revenue scoreboard, not vanity metrics.",APPLIED — recommended title+meta written to page (Jun 16 2026)
/locations/,Location,P1,seo_regression,lost_geo_keyword;lost_service_keyword;lost_rank_modifier;vague,Best SEO Agency San Antonio | Consultus Digital,Locations | Consultus Digital,Digital Marketing Agency Locations Across North America | Consultus Digital,The San Antonio SEO Agency That Drives Search Rankings Up!,One team. Every market.,,One Team. Every Market.,"Consultus Digital runs Google Ads, SEO, CRO and Instagram teams from Toronto across ten more North American cities. Find your market.",APPLIED — recommended title+meta written to page (Jun 16 2026)
